Number,Song Name,Category,Archival Source Link,Lyrics
1,Ambaraye,Comedy & Satire Songs,1 https://www.jiosaavn.com/album/folk-music-of-andhra-pradesh/ASbAr2WTa3M_,https://iiithydstudents-my.sharepoint.com/:w:/g/personal/lokesh_mamillapalli_students_iiit_ac_in/IQARbYtzQQdETa0hGeE7w-V3AatAlcjbDMmJRUaV3Bh2nVs?e=W6Q7YC
2,Randi Punyamulaara,Devotional & Ritual Songs,1 https://www.jiosaavn.com/album/folk-music-of-andhra-pradesh/ASbAr2WTa3M_,
3,Bandenaka Bandi,Love Songs,1 https://www.jiosaavn.com/album/folk-music-of-andhra-pradesh/ASbAr2WTa3M_,
4,Siva Siva Moorthy,Devotional & Ritual Songs,1 https://www.jiosaavn.com/album/folk-music-of-andhra-pradesh/ASbAr2WTa3M_,
5,Nakkalolla Sinnadhanni,Love Songs,1 https://www.jiosaavn.com/album/folk-music-of-andhra-pradesh/ASbAr2WTa3M_,
6,Chenchitha,Love Songs,1 https://www.jiosaavn.com/album/folk-music-of-andhra-pradesh/ASbAr2WTa3M_,
7,Laali Mudhulagumma,Lullabies,1 https://www.jiosaavn.com/album/folk-music-of-andhra-pradesh/ASbAr2WTa3M_,
8,Mancha Digave,Love Songs,https://www.jiosaavn.com/album/telugu-folk-songs/sWBQXXgIMZs_,
9,Vayasu Pongu,Comedy & Satire Songs,https://www.jiosaavn.com/album/telugu-folk-songs/sWBQXXgIMZs_,
10,Mandalola,Comedy & Satire Songs,https://www.jiosaavn.com/album/telugu-folk-songs/sWBQXXgIMZs_,
11,Thaalelo,Devotional & Ritual Songs,https://www.jiosaavn.com/album/telugu-folk-songs/sWBQXXgIMZs_,
12,Entha Challani,Festival,https://www.jiosaavn.com/album/telugu-folk-songs/sWBQXXgIMZs_,
13,Enthati Vaadoy,Devotional & Ritual Songs,https://www.jiosaavn.com/album/telugu-folk-songs/sWBQXXgIMZs_,
14,Laali Lalamma Laali,Lullabies,https://www.jiosaavn.com/album/telugu-folk-songs/sWBQXXgIMZs_,
15,Holi Holi,Festival,https://www.jiosaavn.com/album/telugu-folk-songs/sWBQXXgIMZs_,
16,Kallu Muntha,Comedy & Satire Songs,2 https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,
17,Rela Re,Festival,2 https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,
18,Lalaguda Lambadola,Love Songs,2 https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,
19,Seta Seta,Love Songs,2 https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,
20,Yeniyallo,Tragedy Songs,2 https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,
21,Botla Botla,Love Songs,2 https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,
22,Poru Bandaru,Love Songs,2 https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,
23,Panta Senu,Work Songs,2 https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,
24,Gajala Edla Bandi,Festival,2 https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,
25,Kobbaraku Needalo,Social songs,"https://www.jiosaavn.com/album/konaseema-janapadalu/,F9Fwk4WlFY_",
26,Hailessa,Work Songs,"https://www.jiosaavn.com/album/konaseema-janapadalu/,F9Fwk4WlFY_",
27,Amma Aadevadogani,Love Songs,"https://www.jiosaavn.com/album/konaseema-janapadalu/,F9Fwk4WlFY_",
