no,titleTe,titleEn,category,artist,album,year,sourceUrl,audioFile,originalAudioFile,lyricsLines
001,అంబరాయే,Ambaraye,Comedy & Satire Songs,"A. Anasuya Devi, B. Gopalam, V. Ramakrishna",Folk Music Of Andhra Pradesh,2002,https://www.jiosaavn.com/album/folk-music-of-andhra-pradesh/ASbAr2WTa3M_,001.mp3,Ambaraye (1).mp3,30
002,రండి పుణ్యాత్ములారా,Randi Punyamulaara,Devotional & Ritual Songs,"A. Anasuya Devi, D. Pushpalatha, B. Gopalan",Folk Music Of Andhra Pradesh,2002,https://www.jiosaavn.com/album/folk-music-of-andhra-pradesh/ASbAr2WTa3M_,002.mp3,Randi Punyamulaara.mp3,25
003,బండెనక బండి,Bandenaka Bandi,Love Songs,"A. Anasuya Devi, D. Pushpalatha, B. Gopalan",Folk Music Of Andhra Pradesh,2002,https://www.jiosaavn.com/album/folk-music-of-andhra-pradesh/ASbAr2WTa3M_,003.mp3,Bandenaka Bandi.mp3,21
004,శివ శివ మూర్తి,Siva Siva Moorthy,Devotional & Ritual Songs,"A. Anasuya Devi, D. Pushpalatha, B. Gopalan",Folk Music Of Andhra Pradesh,2002,https://www.jiosaavn.com/album/folk-music-of-andhra-pradesh/ASbAr2WTa3M_,004.mp3,Siva Siva Moorthy.mp3,35
005,నక్కలోళ్ళ చిన్నదానీ,Nakkalolla Sinnadhanni,Love Songs,"A. Anasuya Devi, K. Mallikarjuna Rao, B. Gopalan",Folk Music Of Andhra Pradesh,2002,https://www.jiosaavn.com/album/folk-music-of-andhra-pradesh/ASbAr2WTa3M_,005.mp3,Nakkalolla Sinnadhanni.mp3,35
006,చెంచితా,Chenchitha,Love Songs,"K. Mallikarjuna Rao, A. Anasuya Devi, V. Seetha Devi",Folk Music Of Andhra Pradesh,2002,https://www.jiosaavn.com/album/folk-music-of-andhra-pradesh/ASbAr2WTa3M_,006.mp3,Chenchitha.mp3,53
007,లాలి ముద్దుల గుమ్మ,Laali Mudhulagumma,Lullabies,"A. Anasuya Devi, V. Seetha Devi, T.R. Jayadev",Folk Music Of Andhra Pradesh,2002,https://www.jiosaavn.com/album/folk-music-of-andhra-pradesh/ASbAr2WTa3M_,007.mp3,Laali Mudhulagumma.mp3,15
008,మంచె దిగవే,Mancha Digave,Love Songs,"A. Anasuya Devi, V. Seetha Devi, T.R. Jayadev",Telugu Folk Songs,2003,https://www.jiosaavn.com/album/telugu-folk-songs/sWBQXXgIMZs_,008.mp3,Mancha Digave.mp3,50
009,వయసు పొంగు,Vayasu Pongu,Comedy & Satire Songs,"A. Anasuya Devi, V. Seetha Devi, T.R. Jayadev",Telugu Folk Songs,2003,https://www.jiosaavn.com/album/telugu-folk-songs/sWBQXXgIMZs_,009.mp3,Vayasu Pongu .mp3,33
010,మందలోడా,Mandalola,Comedy & Satire Songs,"A. Anasuya Devi, V. Seetha Devi, T.R. Jayadev",Telugu Folk Songs,2003,https://www.jiosaavn.com/album/telugu-folk-songs/sWBQXXgIMZs_,010.mp3,Mandalola.mp3,46
011,తాలేలో,Thaalelo,Devotional & Ritual Songs,"A. Anasuya Devi, V. Seetha Devi, T.R. Jayadev",Telugu Folk Songs,2003,https://www.jiosaavn.com/album/telugu-folk-songs/sWBQXXgIMZs_,011.mp3,Thaalelo.mp3,40
012,ఎంత చల్లని,Entha Challani,Festival,"A. Anasuya Devi, V. Seetha Devi, T.R. Jayadev",Telugu Folk Songs,2003,https://www.jiosaavn.com/album/telugu-folk-songs/sWBQXXgIMZs_,012.mp3,Entha Challani.mp3,26
013,ఎంతటి వాడోయ్,Enthati Vaadoy,Devotional & Ritual Songs,"A. Anasuya Devi, V. Seetha Devi, T.R. Jayadev",Telugu Folk Songs,2003,https://www.jiosaavn.com/album/telugu-folk-songs/sWBQXXgIMZs_,013.mp3,Enthati Vaadoy.mp3,37
014,లాలీ లాలమ్మ లాలీ,Laali Lalamma Laali,Lullabies,"A. Anasuya Devi, V. Seetha Devi, T.R. Jayadev",Telugu Folk Songs,2003,https://www.jiosaavn.com/album/telugu-folk-songs/sWBQXXgIMZs_,014.mp3,Laali Lalamma Laali.mp3,21
015,హోలి హోలి,Holi Holi,Festival,"A. Anasuya Devi, V. Seetha Devi, T.R. Jayadev",Telugu Folk Songs,2003,https://www.jiosaavn.com/album/telugu-folk-songs/sWBQXXgIMZs_,015.mp3,Holi Holi.mp3,46
016,కల్లు ముంత,Kallu Muntha,Comedy & Satire Songs,Sarangapani,Old Is Gold Janapada Geethalu,2010,https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,016.mp3,Kallu Muntha.mp3,48
017,రేలా రే,Rela Re,Festival,Prasad,Old Is Gold Janapada Geethalu,2010,https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,017.mp3,Rela Re.mp3,43
018,లాలాగూడా లంబాడోల్ల,Lalaguda Lambadola,Love Songs,Susheela.B,Old Is Gold Janapada Geethalu,2010,https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,018.mp3,Lalaguda Lambadola.mp3,48
019,సెట సెట,Seta Seta,Love Songs,Balu,Old Is Gold Janapada Geethalu,2010,https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,019.mp3,Seta Seta.mp3,26
020,ఎన్నియలో,Yeniyallo,Tragedy Songs,Balu,Old Is Gold Janapada Geethalu,2010,https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,020.mp3,Yeniyallo.mp3,31
021,బొట్ల బొట్ల,Botla Botla,Love Songs,Balu,Old Is Gold Janapada Geethalu,2010,https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,021.mp3,Botla Botla.mp3,44
022,పోరు బందరు,Poru Bandaru,Love Songs,Balu,Old Is Gold Janapada Geethalu,2010,https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,022.mp3,Poru Bandaru.mp3,52
023,పంట సేను,Panta Senu,Work Songs,Sarangapani,Old Is Gold Janapada Geethalu,2010,https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,023.mp3,Panta Senu.mp3,23
024,గజ్జెలెడ్ల బండి,Gajala Edla Bandi,Festival,Balu,Old Is Gold Janapada Geethalu,2010,https://www.jiosaavn.com/album/old-is-gold-janapada-geethalu/5mHz3qTEp8g_,024.mp3,Gajala Edla Bandi.mp3,45
025,కొబ్బరాకు నీడలో,Kobbaraku Needalo,Social songs,"Sri Hari Jagannath, Shashikala, Shirisha",Konaseema Janapadalu,2003,"https://www.jiosaavn.com/album/konaseema-janapadalu/,F9Fwk4WlFY_",025.mp3,Kobbaraku Needalo.mp3,33
026,హైలెస్సా,Hailessa,Work Songs,"Sri Hari Jagannath, Murthy, Shirisha, Jyothi",Konaseema Janapadalu,2003,"https://www.jiosaavn.com/album/konaseema-janapadalu/,F9Fwk4WlFY_",026.mp3,Hailessa.mp3,94
027,అమ్మ ఆడేవడోగాని,Amma Aadevadogani,Love Songs,"Sri Hari Jagannath, Shashikala",Konaseema Janapadalu,2003,"https://www.jiosaavn.com/album/konaseema-janapadalu/,F9Fwk4WlFY_",027.mp3,Amma Aadevadogani.mp3,30
028,నెల నెల నల్లికూర,Nela Nela Nallikoora,Family,"Sri Hari Jagannath, Shirisha",Konaseema Janapadalu,2003,"https://www.jiosaavn.com/album/konaseema-janapadalu/,F9Fwk4WlFY_",028.mp3,Nela Nela Nallikoora.mp3,24
029,ఎర్రా ఎర్రా ఎడ్లనుగట్టి,Erra Erra Edlanukatti,Festival,"Sri Hari Jagannath, Jyothi, Maruti",Konaseema Janapadalu,2003,"https://www.jiosaavn.com/album/konaseema-janapadalu/,F9Fwk4WlFY_",029.mp3,Erra Erra Edlanukatti.mp3,58
030,నా మాటే వినికోవే,Namate Vinikove,Love Songs,"Sri Hari Jagannath, Murthy",Konaseema Janapadalu,2003,"https://www.jiosaavn.com/album/konaseema-janapadalu/,F9Fwk4WlFY_",030.mp3,Namate Vinikove.mp3,50
031,వ్యాపారం సెడిపోద్దే పిల్లా,Yaparam Sedipodde Pilla,Love Songs,"Sri Hari Jagannath, Shashikala",Konaseema Janapadalu,2003,"https://www.jiosaavn.com/album/konaseema-janapadalu/,F9Fwk4WlFY_",031.mp3,Yaparam Sedipodde Pilla.mp3,61
032,జాతరకెళదాం రావే పిల్లా,Jatarakeldam Ravepilla,Festival,"Sri Hari Jagannath, Nelson, Shashikala",Konaseema Janapadalu,2003,"https://www.jiosaavn.com/album/konaseema-janapadalu/,F9Fwk4WlFY_",032.mp3,Jatarakeldam Ravepilla.mp3,35
033,హొయ్యారే హొయ్యారే,Haiyare- Haiyare,Festival,"Sri Hari Jagannath, Murthy, Shirisha, Jyothi",Konaseema Janapadalu,2003,"https://www.jiosaavn.com/album/konaseema-janapadalu/,F9Fwk4WlFY_",033.mp3,Haiyare- Haiyare.mp3,76
034,తెల్లచీర,Tella Cheera,Love Songs,C. Nageswara Rao,Janapada Jallulu (Telugu Folk Songs),2022,https://www.jiosaavn.com/album/janapada-jallulu-telugu-folk-songs/0d0DzuZBP90_,034.mp3,Tella Cheera.mp3,61
035,పూల మొగ్గల రైకదానా,Poola Moggala Raika Dhaana,Love Songs,C. Nageswara Rao,Janapada Jallulu (Telugu Folk Songs),2022,https://www.jiosaavn.com/album/janapada-jallulu-telugu-folk-songs/0d0DzuZBP90_,035.mp3,Poola Moggala Raika Dhaana.mp3,22
