instrumentId,file,nameEn,nameTe,originalFile,format,width,height,kb
andelu,andelu.jpg,Andelu,అందెలు,andelu.jpg,JPEG,500,285,9
burra-veena,burra-veena.jpg,Burra Veena,బుర్ర వీణ,burra_veena.jpg,JPEG,968,2048,189
chekkalu,chekkalu.jpg,Chekkalu (Chekka Bhajana clappers),చెక్కలు,chekkalu.jpg,JPEG,1000,649,45
chirutalu,chirutalu.jpg,Chirutalu,చిరుతలు,chirutalu.jpg,JPEG,1500,1500,182
dappu,dappu.jpg,Dappu,డప్పు,dappu.jpg,JPEG,720,720,64
dolu,dolu.jpg,Dolu,డోలు,dolu.jpg,JPEG,500,500,78
gumela,gumela.png,Gumela,గుమేళా,gumela.png,PNG,451,545,361
gummeta,gummeta.jpg,Gummeta,గుమ్మెట,gummeta.jpeg,JPEG,547,365,23
jamidika,jamidika.jpg,Jamidika (Jamuku),జమిడిక,jamidika.jpg,JPEG,756,465,138
kalikom,kalikom.jpg,Kalikom,కాలికోం,kalikom.jpg,JPEG,250,407,40
kikri,kikri.jpg,Kikri (Kingri),కిక్రి,kikri.jpg,JPEG,534,718,183
kolatam-karralu,kolatam-karralu.jpg,Kolatam Karralu (Kolatam sticks),కోలాటం కర్రలు,kolatam sticks.jpg,JPEG,1200,1428,113
maddela,maddela.png,Maddela,మద్దెల,maddela.png,PNG,1300,663,1395
oggu,oggu.png,Oggu,ఒగ్గు,oggu.png,PNG,170,170,57
pamba,pamba.jpg,Pamba,పంబ,pamba.jpeg,JPEG,626,490,29
pillana-grovi,pillana-grovi.jpg,Pillana Grovi,పిల్లనగ్రోవి,pilangrovi.jpg,JPEG,500,142,12
sannayi,sannayi.jpg,Sannayi (Nadaswaram),సన్నాయి,Sannayi.jpg,JPEG,800,511,63
talalu,talalu.jpg,Talalu,తాళాలు,talalu.jpg,JPEG,1280,944,146
tambura,tambura.jpg,Tambura,తంబుర,tambura.jpeg,JPEG,452,678,16
tappeta,tappeta.jpg,Tappeta,తప్పెట,tappeta gullu.jpg,JPEG,1280,720,153
