no,titleTe,titleEn,category,artist,album,year,sourceUrl,audioFile,originalAudioFile,lyricsLines,transliterationLines
001,ఆకు పచ్చ చందమామ,Aaku Pacha Chanda,Agrarian,Kousalya,,,https://archive.org/details/arrjp-t/Aaku+Pacha+Chanda.mp3,001.mp3,1_Aaku Pacha Chanda.mp3,8,8
002,అమ్మ తెలంగాణమా,Amma Telanganama,Movement,Gaddar,,,https://archive.org/details/arrjp-t/Amma+Telanganama.mp3,002.mp3,2_Amma Telanganama.mp3,26,26
003,అసైదులా హారతి,Asaidula Haarati,Protest,Kodari Sreenu,,,https://archive.org/details/arrjp-t/Asaidula+Haarati.mp3,003.mp3,3_Asaidula Haarati.mp3,19,19
004,ఎర్ర జెండా,Erra Jenda,Revolutionary,,,,https://archive.org/details/arrjp-t/Erra+Jenda.mp3,004.mp3,4_Erra Jenda.mp3,20,20
005,మందులోడా ఓరి,Manduloda Ori,Romance,,,,https://archive.org/details/arrjp-t/Manduloda+Ori.mp3,005.mp3,5_Manduloda Ori.mp3,17,17
006,ఓ పెండ్లామా నా పెండ్లామా,O Pinlama Naa Penlama,Family,,,,https://archive.org/details/arrjp-t/O-pinlama-naa-penlama.mp3,006.mp3,6_O Pinlama Naa Penlama.mp3,14,14
007,రాయే మరదలా,Rave Maradhana,Romance,Vadlakonda Anil Kumar,,,https://archive.org/details/arrjp-t/Rave-maradhana.mp3,007.mp3,7_Rave Maradhana.mp3,7,7
008,సాసు హమారా,Saasu Hamara,Family,Booda Paramesh,,,https://archive.org/details/arrjp-t/Saasu+Hamara.mp3,008.mp3,8_Saasu Hamara.mp3,13,14
009,సందులున్న గిరక,Sandulunna Giraka,Romance,,,,https://archive.org/details/arrjp-t/Sandulunna+Giraka.mp3,009.mp3,9_Sandulunna Giraka.mp3,11,11
010,సరోజ నీ పలుకే,Saroja Nee Paluke,Romance,,,,https://archive.org/details/arrjp-t/Saroja+Nee+Paluke.mp3,010.mp3,10_Saroja Nee Paluke.mp3,5,5
011,వీర కిశోర వీర కిశోర,Veera Kishora Veera Kishora,Elegy,Vimalakka,,,https://archive.org/details/arrjp-t/Veera+Kishora+Veera+Kishora+-+Vimalakka+Songs+Telangana+Folk+Songs+New+Telugu+Folk+Songs.mp3,011.mp3,11_Veera Kishora Veera Kishora.mp3,6,6
012,అందాల దేవికి గర్భం,Andala Deviki Garbam,Family,"Matla Tirupathi, Ramadevi, Aruna, Venu",,,https://archive.org/details/arrjp-t/andala_deviki_garbam_telangana_folk_songs.mp3,012.mp3,12_Andala Deviki Garbam.mp3,10,10
013,అత్తా ఓ అత్తా,Atha O Atha,Family,Ramadevi,,,https://archive.org/details/arrjp-t/atha_o_atha_folk_songs.mp3,013.mp3,13_Atha O Atha.mp3,9,9
014,అత్తా ఓ అత్తా నీ బిడ్డ,Atta Oo Atta Nee Bidda,Family,,,,https://archive.org/details/arrjp-t/atta_oo_atta_nee_bidda_telangana_folk_songs.mp3,014.mp3,14_Atta Oo Atta Nee Bidda.mp3,16,16
015,అత్తరు సాయబో రా రా,Attaru Saibo Raaraa Popular,Romance,Jadala Ramesh,,,https://archive.org/details/arrjp-t/attaru_saibo_raaraa_popular_telangana_folk_song.mp3,015.mp3,15_Attaru Saibo Raaraa Popular.mp3,5,5
016,చిన్ని చిన్ని దానివే ఓ పిల్ల,Chinni Chinni Danive O Pilla,Romance,Vadlakonda Anil Kumar,,,https://archive.org/details/arrjp-t/chinni_chinni_danive_o_pilla_song_telangana_folk_song.mp3,016.mp3,16_Chinni Chinni Danive O Pilla.mp3,9,9
017,ఎర్ర చీర కట్టుకోని పిల్ల,Erra Chira Katukuna Pilla Janapadalu,Romance,Vadlakonda Anil Kumar,,,https://archive.org/details/arrjp-t/erra_chira_katukuna_pilla_janapadalu_telangana_folk_song.mp3,017.mp3,17_Erra Chira Katukuna Pilla Janapadalu.mp3,6,6
018,గల్ గల్ సప్పుళ్ల గాజులు తెస్తానే,Gal Gal Sappulla Gajulu Thestane,Romance,Vadlakonda Anil Kumar,,,https://archive.org/details/arrjp-t/gal_gal_sappulla_gajulu_thestane_telangana_folk_song.mp3,018.mp3,18_Gal Gal Sappulla Gajulu Thestane.mp3,4,4
019,గల్లీ గల్లీ తిరిగేటోడు,Gali Gali Thirigetodu Telangana Lambadi,Domestic Tragedy,,,,https://archive.org/details/arrjp-t/gali_gali_thirigetodu_telangana_lambadi_folk_song.mp3,019.mp3,19_Gali Gali Thirigetodu Telangana Lambadi.mp3,4,4
020,గొల్ల మల్లమ్మ కోడలా,Golla Mallamma Kodala,Family,,,,https://archive.org/details/arrjp-t/golla_mallamma_kodala_original_song_telangana_folk_song.mp3,020.mp3,20_Golla Mallamma Kodala.mp3,6,6
021,గున్న గున్న మామిడి,Gunna Gunna Mamidi Popular,Romance,Peddapuli Eshwar,,,https://archive.org/details/arrjp-t/gunna_gunna_mamidi_original_song_popular_telangana_folk_song.mp3,021.mp3,21_Gunna Gunna Mamidi Popular.mp3,4,4
022,కల్లు తాగి కల్లు తాగి కలుసుకుంటివా,Kallu Tagi Kallu Tagi Kalusukuntiva,Domestic,,,,https://archive.org/details/arrjp-t/kallu_tagi_kallu_tagi_kalusukuntiva_telangana_folk_song.mp3,022.mp3,22_Kallu Tagi Kallu Tagi Kalusukuntiva.mp3,5,5
023,కొమ్మలల్లో కోయిలమ్మ,Kommalallo Koilamma,Heartbreak,Gidde Ram Narsaiah,,,https://archive.org/details/arrjp-t/kommalallo_koilamma_telangana_folk_song.mp3,023.mp3,23_Kommalallo Koilamma.mp3,4,4
024,మేనమామ కూతురా,Menamama Kuthura Most,Romance,,,,https://archive.org/details/arrjp-t/menamama_kuthura_most_popular_folk_song.mp3,024.mp3,24_Menamama Kuthura Most.mp3,5,5
025,నా అందం చూడో బావయ్యో,Na Andam Chudo Bavayyo,Romance,Ramadevi,,,https://archive.org/details/arrjp-t/na_andam_chudo_bavayyo_telangana_folk_song.mp3,025.mp3,25_Na Andam Chudo Bavayyo.mp3,5,5
026,నన్ను కొట్టకురో తిట్టకురో,Nanu Kottakuro Thittakuro,Domestic Tragedy,,,,https://archive.org/details/arrjp-t/nanu_kottakuro_thittakuro_popular_telugu_folk_song.mp3,026.mp3,26_Nanu Kottakuro Thittakuro.mp3,5,5
027,నాయి దొరో నా చిన్ని దొర రాజిరెడ్డీ,Nayi Dhoro Na Chinni Dhora Raji Reddy,Elegy,,,,https://archive.org/details/arrjp-t/nayi_dhoro_na_chinni_dhora_raji_reddy_song_telangana_folk_song.mp3,027.mp3,27_Nayi Dhoro Na Chinni Dhora Raji Reddy.mp3,1,1
028,రంగమ్మ మంగమ్మ,Rangamma Mangamma,Romance,,,,https://archive.org/details/arrjp-t/rangamma_mangamma.mp3,028.mp3,28_Rangamma Mangamma.mp3,6,6
029,రవ్వ రవ్వల ఎల్లమ్మకు,Rava Rava Yellammaku,Devotional,Jangi Reddy,,,https://archive.org/details/arrjp-t/rava_rava_yellammaku_telangana_folk_song.mp3,029.mp3,29_Rava Rava Yellammaku.mp3,5,5
030,రేగుర్తి తాళ్ళల్ల అవుదుర్తి తాళ్ళల్ల,Regurthi Thallala Avudurthi Duet Telu Vijaya Telangana,Lifestyle,Telu Vijaya,,,https://archive.org/details/arrjp-t/regurthi_thallala_avudurthi_duet_folk_songs_telu_vijaya_telangana_song.mp3,030.mp3,30_Regurthi Thallala Avudurthi Duet Telu Vijaya Telangana.mp3,8,8
031,సారా సారమ్మ సారా,Sara Saramma Sara Popular,Lifestyle,Gidde Ram Narsaiah,,,https://archive.org/details/arrjp-t/sara_saramma_sara_popular_telangana_folk_song.mp3,031.mp3,31_Sara Saramma Sara Popular.mp3,5,5
032,సిన్నంగ పోయేటి ఓ వదినే,Sinnamgapoyeti O Vadhinae Most,Family,,,,https://archive.org/details/arrjp-t/sinnamgapoyeti_o_vadhinae_most_popular_folk_song.mp3,032.mp3,32_Sinnamgapoyeti O Vadhinae Most.mp3,4,4
033,తెల్ల చీర తెల్ల రైక,Tella Cheera Tella Raika,Family,"Jangi Reddy, Sunitha",,,https://archive.org/details/arrjp-t/tella_cheera_tella_raika_popular_telugu_folk_song.mp3,033.mp3,33_Tella Cheera Tella Raika.mp3,3,3
034,ఏడికే పిల్లా రజిత,Yadike Pilla Rajitha,Romance,"Vadlakonda Anil Kumar, Swarna",,,https://archive.org/details/arrjp-t/yadike_pilla_rajitha_telugu_folk_video_song.mp3,034.mp3,34_Yadike Pilla Rajitha.mp3,17,17
035,ఎగిలివారంగ తయారై,Yegilli Baranga Thayyarai,Family,Vadlakonda Anil Kumar,,,https://archive.org/details/arrjp-t/yegilli_baranga_thayyarai_telangana_folk_song.mp3,035.mp3,35_Yegilli Baranga Thayyarai.mp3,15,15
036,ఏమంటు చెప్పనే ఏరువాక,Emantu Cheppane Eruvaaka,Agrarian,Chinthala Yadagiri,,,https://youtu.be/8bAZiKzWxoo,036.mp3,36_Emantu Cheppane Eruvaaka.mp3,6,6
037,ఊరు విడవమన్నది కరువు,Ooru Vidavamannadi Karuvu,Agrarian,Chinthala Yadagiri,,,https://youtu.be/8bAZiKzWxoo,037.mp3,37_Ooru Vidavamannadi Karuvu.mp3,5,5
038,రతనాల రాశుల్లో రాజోలె తిరిగిన,Ratanaala Raasullo Raajole Tirigina,Protest,Chinthala Yadagiri,,,https://youtu.be/8bAZiKzWxoo,038.mp3,38_Ratanaala Raasullo Raajole Tirigina.mp3,4,4
039,ఓ పల్లె నా తల్లి కల్పవల్లి,O Palle Naa Thalli Kalpavalli,Nostalgia,Chinthala Yadagiri,,,https://youtu.be/8bAZiKzWxoo,039.mp3,39_O Palle Naa Thalli Kalpavalli.mp3,5,5
040,అప్పుల బాధలు తాళలేక,Appula Baadhalu Thaalaleka,Agrarian,Chinthala Yadagiri,,,https://youtu.be/8bAZiKzWxoo,040.mp3,40_Appula Baadhalu Thaalaleka.mp3,22,22
041,పచ్చని మా పల్లెటూరు,Pachani Maa Palleturu,Nostalgia,Chinthala Yadagiri,,,https://youtu.be/8bAZiKzWxoo,041.mp3,41_Pachani Maa Palleturu.mp3,5,5
042,ఎంత చెప్పినా తీరు రైతన్న వ్యధలు,Entha Cheppina Theeru Raithanna Vyadhalu,Agrarian,Chinthala Yadagiri,,,https://youtu.be/8bAZiKzWxoo,042.mp3,42_Entha Cheppina Theeru Raithanna Vyadhalu.mp3,5,5
043,కర్రు ఊడిపోయింది,Karru Oodipoyindi,Agrarian,Chinthala Yadagiri,,,https://youtu.be/8bAZiKzWxoo,043.mp3,43_Karru Oodipoyindi.mp3,5,5
044,సిగురు సింతల్ల మీద,Siguru Sinthalla Meedha,Nature,Lahari,SUPERHIT Telangana Folk Songs,2021,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,044.mp3,44_Siguru Sinthalla Meedha.mp3,5,5
045,బంతి పూల దండ,Banthi Puvvula Dhanda,Romance,"Shekpally Narsimlu, Varam",SUPERHIT Telangana Folk Songs,2021,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,045.mp3,45_Banthi Puvvula Dhanda.mp3,5,5
046,పాకాల చెరువెనకారో,Paakala Cheruvu Venakaaro,Nature,"Mallika, Gajwel Venu",SUPERHIT Telangana Folk Songs,2021,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,046.mp3,46_Paakala Cheruvu Venakaaro.mp3,5,5
047,డబల్ డబల్ అంగిలోనికి,Dabal Dabal Angiloniki,Romance,Lahari,SUPERHIT Telangana Folk Songs,2021,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,047.mp3,47_Dabal Dabal Angiloniki.mp3,9,9
048,గిర్రా గిర్రా బండి,Girra Girra Bandi,Romance,"Gajwel Swami, Nagalaxmi",SUPERHIT Telangana Folk Songs,2021,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,048.mp3,48_Girra Girra Bandi.mp3,6,6
049,ఆత్రంగా పోతున్నవ్ ఏ ఊరు,Aathranga Pothunnav Ye Ooru,Romance,"Gajwel Venu, Janaki",SUPERHIT Telangana Folk Songs,2021,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,049.mp3,49_Aathranga Pothunnav Ye Ooru.mp3,17,17
050,రింగు రింగు యెంటికలయ్య,Ringu Ringu Yentikalayya,Romance,Prabha,SUPERHIT Telangana Folk Songs,2021,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,050.mp3,50_Ringu Ringu Yentikalayya.mp3,9,9
051,యాపర్ల జాపర్ల సాయిలన్నా,Yaparla Japarla Sailanna,Travel,Prabha,SUPERHIT Telangana Folk Songs,2021,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,051.mp3,51_Yaparla Japarla Sailanna.mp3,6,6
052,ఎన్నడు రానోడు బావొచ్చినాడో,Yennadu Raanodu Baavochinaado,Romance,Mallika,SUPERHIT Telangana Folk Songs,2021,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,052.mp3,52_Yennadu Raanodu Baavochinaado.mp3,6,6
053,ఏమి పనులు వస్తాయి,Yemi Panulu Vasthaayi,Family,Shaikpally Narsimulu,SUPERHIT Telangana Folk Songs,2021,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,053.mp3,53_Yemi Panulu Vasthaayi.mp3,6,6
054,మారదే మారదే,Maaradhe Maaradhe,Heartbreak,B. Mahipal,SUPERHIT Telangana Folk Songs,2021,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,054.mp3,54_Maaradhe Maaradhe.mp3,7,7
055,గున్న గున్న మావుల్లో,Gunna Gunna Maavulla,Romance,Thejashvini,SUPERHIT Telangana Folk Songs,2021,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,055.mp3,55_Gunna Gunna Maavulla.mp3,3,4
056,రవ్వ రవ్వలయ్య,Rava Reevalayya,Devotional,Yellamma,SUPERHIT Telangana Folk Songs,2021,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,056.mp3,56_Rava Reevalayya.mp3,5,5
057,బిలబిలాల వాసన,Bilabilaala Vaasana,Romance,Prabha,SUPERHIT Telangana Folk Songs,2021,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,057.mp3,57_Bilabilaala Vaasana.mp3,5,5
058,ఓరి నాగా,Ori Naaga,Devotional,Santhoshamma,SUPERHIT Telangana Folk Songs,2021,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,058.mp3,58_Ori Naaga.mp3,5,5
059,సిక్కుడు నీవెంత సిగ్గారి,Sikkudu Neeventha Siggaari,Romance,Rojaramani,SUPERHIT Telangana Folk Songs,2021,https://www.jiosaavn.com/album/superhit-telangana-folk-songs/XndyqWwlRZE_,059.mp3,59_Sikkudu Neeventha Siggaari.mp3,5,5
060,అడవిలోన తిరిగేటి,Aadavilona Tirigeti,Elegy,Gaddam Ramesh,,,https://www.youtube.com/watch?v=W3HgYK2pUEs,060.mp3,60_Aadavilona Tirigeti.mp3,4,4
061,ఇల్లిడిసి వెళ్ళిపోతున్నా,Illidisi Yellipottunna,Migration,Garjana,,,https://www.youtube.com/watch?v=W3HgYK2pUEs,061.mp3,61_Illidisi Yellipottunna.mp3,4,8
062,ముద్దుల బావయ్యో,Muddula Bavayyo,Revolutionary,"S. V. Mallik Teja, Swarna",,,https://www.youtube.com/watch?v=W3HgYK2pUEs,062.mp3,62_Muddula Bavayyo.mp3,10,27
063,నా అరటాకులంటి,Na Aratakulanti,Social Tragedy,Swarna,,,https://www.youtube.com/watch?v=W3HgYK2pUEs,063.mp3,63_Na Aratakulanti.mp3,6,28
064,వడగండ్ల వాన నిన్ను,Vadagandla Vana Ninnu,Agrarian,Akunuri Devaiah,,,https://www.youtube.com/watch?v=W3HgYK2pUEs,064.mp3,64_Vadagandla Vana Ninnu.mp3,4,4
065,ఏమి దుబాయ్ ఏమి,Yemi Dubai Yemi,Migration,Gaddam Ramesh,,,https://www.youtube.com/watch?v=W3HgYK2pUEs,065.mp3,65_Yemi Dubai Yemi.mp3,11,24
066,నేల రాలిన మోదుగు పూవు,Nela Ralina Modugha Poovu,Social Tragedy,,,,https://www.youtube.com/watch?v=g7Ke6DTFr6E,066.mp3,66_Nela Ralina Modugha Poovu.mp3,6,6
067,మా పల్లె ఎంతో ముద్దు,Ma Palle Yentho Muddhu,Nostalgia,,,,https://www.youtube.com/watch?v=g7Ke6DTFr6E,067.mp3,67_Ma Palle Yentho Muddhu.mp3,8,5
068,ఉరుముతున్నది,Oorumu Thunnadhi,Social Justice,,,,https://www.youtube.com/watch?v=g7Ke6DTFr6E,068.mp3,68_Oorumu Thunnadhi.mp3,7,7
